Airport;lat;lng
SAINT MARTIN, GRAND CASE, GUADELOUPE airport;18.1069;63.0483
SAINT BARTHELEMY/FRENCH ANTILLES airport;17.9042;62.8367
MARIE GALANTE airport;15.8675;61.2683
POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport;16.275;61.5317
LES SAINTES/TERRE DE HAUT/FRENCH ANTILLES airport;15.8667;61.5833
DUBROVNIK/CILIPI airport;42.56;18.2683
PULA airport;44.8936;13.9214
RIJEKA/KRK airport;45.2154;14.5707
SPLIT/KASTELA airport;43.5381;16.2981
ZAGREB/FRANJO TUDJMAN airport;45.7424;16.0699
ZADAR/ZEMUNIK airport;44.1033;16.0881
BUDAPEST/LISZT FERENC INTERNATIONAL airport;47.4333;19.2558
DEBRECEN airport;47.4878;21.6192
CORK airport;51.8486;8.4903
GALWAY airport;53.3323;9.0064
DUBLIN airport;53.4283;6.2489
IRELAND WEST airport;53.9103;8.8183
KERRY airport;52.1809;9.5238
SHANNON airport;52.6978;8.9248
AKUREYRI airport;65.6603;18.0722
EGILSSTADIR airport;65.2661;14.3947
ISAFJORDUR airport;66.0592;23.1492
KEFLAVIK airport;63.9847;22.6056
REYKJAVIK airport;64.1299;21.9405
VESTMANNAEYJAR airport;63.4244;20.2783
Unknown airport - ITALY;41.8719;12.5674
CROTONE airport;39.0858;17.0769
BARI/PALESE airport;41.1397;16.7647
FOGGIA/GINO LISA airport;41.4328;15.5392
TARANTO/GROTTAGLIE airport;40.5097;17.3917
PESCARA airport;42.4358;14.1856
BRINDISI/CASALE airport;40.6586;17.9475
LAMEZIA TERME airport;38.9056;16.239
COMISO airport;36.9426;14.6062
CATANIA/FONTANAROSSA airport;37.4667;15.0667
LAMPEDUSA airport;35.5019;12.6106
PANTELLERIA airport;36.8306;11.9678
PALERMO/PUNTA RAISI airport;38.1758;13.0911
REGGIO CALABRIA airport;38.0717;15.652
TRAPANI/BIRGI airport;37.9112;12.4862
ALGHERO/FERTILIA airport;40.6308;8.2917
CAGLIARI/ELMAS airport;39.2514;9.0543
OLBIA/COSTA SMERALDA airport;40.8986;9.5178
MILANO/MALPENSA airport;45.6319;8.7233
BERGAMO/ORIO AL SERIO airport;45.6672;9.7042
TORINO/CASELLE airport;45.2014;7.6414
ALBENGA airport;44.0478;8.1133
GENOVA/SESTRI airport;44.4131;8.8419
MILANO/LINATE airport;45.4497;9.2819
PARMA airport;44.8217;10.2975
AOSTA airport;45.7333;7.3667
CUNEO/LEVALDIGI airport;44.475;7.6203
BOLZANO airport;46.4608;11.3283
BOLOGNA/BORGO PANIGALE airport;44.5367;11.2889
TREVISO/S.ANGELO airport;45.6425;12.1931
FORLI airport;44.195;12.0714
VERONA/BOSCOMANTICO airport;45.4593;11.0253
BRESCIA/MONTICHIARI airport;45.4172;10.3264
TRIESTE/RONCHI DEI LEGIONARI airport;45.8272;13.4739
RIMINI/MIRAMARE airport;44.0156;12.6178
VERONA/VILLAFRANCA airport;45.3969;10.8872
ANCONA/FALCONARA airport;43.6158;13.3606
VENEZIA/TESSERA airport;45.5055;12.3519
ROMA/CIAMPINO airport;41.804;12.593
ROMA/FIUMICINO airport;41.8003;12.2389
MARINA DI CAMPO airport;42.7667;10.2333
NAPOLI/CAPODICHINO airport;40.8861;14.2861
PISA/S. GIUSTO airport;43.6836;10.3956
FIRENZE/PERETOLA airport;43.8089;11.2011
GROSSETO airport;42.7633;11.0775
PERUGIA/S. FRANCESCO airport;43.0953;12.5186
KAUNAS INTL airport;54.9667;24.0833
PALANGA/INTERNATIONAL airport;55.9723;21.0734
SIAULIAI/INTERNATIONAL airport;55.8906;23.3853
VILNIUS/INTERNATIONAL airport;54.6436;25.2893
LUXEMBOURG airport;49.6256;6.2163
RIGA airport;56.9237;23.8504
PODGORICA airport;42.3597;19.2564
TIVAT airport;42.4047;18.7233
OHRID airport;41.179;20.7397
SKOPJE airport;41.9613;21.6214
LUQA airport;35.8575;14.4775
AMSTERDAM/SCHIPHOL airport;52.3086;4.763
MAASTRICHT/AACHEN airport;50.9167;5.7706
EINDHOVEN airport;51.4503;5.3856
GRONINGEN/EELDE airport;53.1197;6.5786
ROTTERDAM airport;51.9547;4.4372
ALESUND/VIGRA airport;62.5606;6.0792
ANDOYA/ANDENES airport;69.3175;16.1439
NY-ALESUND/HAMNERABBEN airport;78.9341;11.8907
ALTA airport;69.9761;23.2181
BARENTSBURG airport;78.0667;14.2167
FORDE/BRINGELAND airport;61.3853;5.8617
BOMOEN airport;61.8497;5.0117
BRONNOYSUND/BRONNOY airport;65.4614;12.215
BODO airport;67.2692;14.3644
BERGEN/FLESLAND airport;60.2883;5.2178
BATSFJORD airport;70.6386;30.0717
BERLEVAG airport;70.865;29.3094
KRISTIANSAND/KJEVIK airport;58.2044;8.0019
GEILO/DAGALI airport;60.4289;8.4217
BARDUFOSS airport;69.0558;18.5408
EGGEMOEN airport;60.1983;10.3414
EKOFISK airport;56.5517;3.2208
HARSTAD/NARVIK/EVENES airport;68.5283;16.6806
